location,index,,,,,
Willow_inTime,1,,,,,
Willow_outTime,2,,,,,
Yentna_inTime,3,,,,,
Yentna_outTime,4,,,,,
Skwentna_inTime,5,,,,,
Skwentna_outTime,6,,,,,
Finger Lake_inTime,7,,,,,
Finger Lake_outTime,8,,,,,
Rainy Pass_inTime,9,,,,,
Rainy Pass_outTime,10,,,,,
Rohn_inTime,11,,,,,
Rohn_outTime,12,,,,,
Nikolai_inTime,13,,,,,
Nikolai_outTime,14,,,,,
McGrath_inTime,15,,,,,
McGrath_outTime,16,,,,,
Takotna_inTime,17,,,,,
Takotna_outTime,18,,,,,
Ophir_inTime,19,,,,,
Ophir_outTime,20,,,,,
Iditarod_inTime,21,,,,,
Iditarod_outTime,22,,,,,
Shageluk_inTime,23,,,,,
Shageluk_outTime,24,,,,,
Anvik_inTime,25,,,,,
Anvik_outTime,26,,,,,
Grayling_inTime,27,,,,,
Grayling_outTime,28,,,,,
Eagle Island_inTime,29,,,,,
Eagle Island_outTime,30,,,,,
Kaltag_inTime,31,,,,,
Kaltag_outTime,32,,,,,
Unalakleet_inTime,33,,,,,
Unalakleet_outTime,34,,,,,
Shaktoolik_inTime,35,,,,,
Shaktoolik_outTime,36,,,,,
Koyuk_inTime,37,,,,,
Koyuk_outTime,38,,,,,
Elim_inTime,39,,,,,
Elim_outTime,40,,,,,
White Mountain_inTime,41,,,,,
White Mountain_outTime,42,,,,,
Safety_inTime,43,,,,,
Safety_outTime,44,,,,,
Nome_inTime,45,,,,,