location,location_name,index,,,,,
Willow_inTime,Willow,1,,,,,
Willow_outTime,,2,,,,,
Yentna_inTime,Yentna,3,,,,,
Yentna_outTime,,4,,,,,
Skwentna_inTime,Skwentna,5,,,,,
Skwentna_outTime,,6,,,,,
Finger Lake_inTime,Finger Lake,7,,,,,
Finger Lake_outTime,,8,,,,,
Rainy Pass_inTime,Rainy Pass,9,,,,,
Rainy Pass_outTime,,10,,,,,
Rohn_inTime,Rohn,11,,,,,
Rohn_outTime,,12,,,,,
Nikolai_inTime,Nikolai,13,,,,,
Nikolai_outTime,,14,,,,,
McGrath_inTime,McGrath,15,,,,,
McGrath_outTime,,16,,,,,
Takotna_inTime,Takotna,17,,,,,
Takotna_outTime,,18,,,,,
Ophir_inTime,Ophir,19,,,,,
Ophir_outTime,,20,,,,,
Iditarod_inTime,Iditarod,21,,,,,
Iditarod_outTime,,22,,,,,
Shageluk_inTime,Shageluk,23,,,,,
Shageluk_outTime,,24,,,,,
Anvik_inTime,Anvik,25,,,,,
Anvik_outTime,,26,,,,,
Grayling_inTime,Grayling,27,,,,,
Grayling_outTime,,28,,,,,
Eagle Island_inTime,Eagle Island,29,,,,,
Eagle Island_outTime,,30,,,,,
Kaltag_inTime,Kaltag,31,,,,,
Kaltag_outTime,,32,,,,,
Unalakleet_inTime,Unalakleet,33,,,,,
Unalakleet_outTime,,34,,,,,
Shaktoolik_inTime,Shaktoolik,35,,,,,
Shaktoolik_outTime,,36,,,,,
Koyuk_inTime,Koyuk,37,,,,,
Koyuk_outTime,,38,,,,,
Elim_inTime,Elim,39,,,,,
Elim_outTime,,40,,,,,
White Mountain_inTime,White Mountain,41,,,,,
White Mountain_outTime,,42,,,,,
Safety_inTime,Safety,43,,,,,
Safety_outTime,,44,,,,,
Nome_inTime,Nome,45,,,,,