musher,checkName,checkPlace,index
Aaron Burmeister,Anvik,11,13
Aaron Burmeister,Eagle Island,12,15
Aaron Burmeister,Elim,9,20
Aaron Burmeister,Finger Lake,11,4
Aaron Burmeister,Grayling,12,14
Aaron Burmeister,Iditarod,18,11
Aaron Burmeister,Kaltag,15,16
Aaron Burmeister,Koyuk,10,19
Aaron Burmeister,McGrath,15,8
Aaron Burmeister,Nikolai,13,7
Aaron Burmeister,Nome,10,23
Aaron Burmeister,Ophir,4,10
Aaron Burmeister,Rainy Pass,26,5
Aaron Burmeister,Rohn,11,6
Aaron Burmeister,Safety,10,22
Aaron Burmeister,Shageluk,15,12
Aaron Burmeister,Shaktoolik,12,18
Aaron Burmeister,Skwentna,40,3
Aaron Burmeister,Takotna,16,9
Aaron Burmeister,Unalakleet,13,17
Aaron Burmeister,White Mountain,9,21
Aaron Burmeister,Willow,37,1
Aaron Burmeister,Yentna,32,2
Aaron Peck,Anvik,18,13
Aaron Peck,Eagle Island,29,15
Aaron Peck,Elim,21,20
Aaron Peck,Finger Lake,34,4
Aaron Peck,Grayling,31,14
Aaron Peck,Iditarod,28,11
Aaron Peck,Kaltag,27,16
Aaron Peck,Koyuk,22,19
Aaron Peck,McGrath,19,8
Aaron Peck,Nikolai,29,7
Aaron Peck,Nome,24,23
Aaron Peck,Ophir,21,10
Aaron Peck,Rainy Pass,21,5
Aaron Peck,Rohn,28,6
Aaron Peck,Safety,24,22
Aaron Peck,Shageluk,24,12
Aaron Peck,Shaktoolik,26,18
Aaron Peck,Skwentna,37,3
Aaron Peck,Takotna,29,9
Aaron Peck,Unalakleet,26,17
Aaron Peck,White Mountain,24,21
Aaron Peck,Willow,46,1
Aaron Peck,Yentna,44,2
Alison Lifka,Anvik,45,13
Alison Lifka,Eagle Island,42,15
Alison Lifka,Elim,35,20
Alison Lifka,Finger Lake,48,4
Alison Lifka,Grayling,45,14
Alison Lifka,Iditarod,45,11
Alison Lifka,Kaltag,42,16
Alison Lifka,Koyuk,35,19
Alison Lifka,McGrath,47,8
Alison Lifka,Nikolai,51,7
Alison Lifka,Nome,33,23
Alison Lifka,Ophir,51,10
Alison Lifka,Rainy Pass,49,5
Alison Lifka,Rohn,46,6
Alison Lifka,Safety,34,22
Alison Lifka,Shageluk,45,12
Alison Lifka,Shaktoolik,38,18
Alison Lifka,Skwentna,52,3
Alison Lifka,Takotna,38,9
Alison Lifka,Unalakleet,39,17
Alison Lifka,White Mountain,35,21
Alison Lifka,Willow,36,1
Alison Lifka,Yentna,39,2
Aliy Zirkle,Anvik,6,13
Aliy Zirkle,Eagle Island,6,15
Aliy Zirkle,Elim,4,20
Aliy Zirkle,Finger Lake,2,4
Aliy Zirkle,Grayling,6,14
Aliy Zirkle,Iditarod,1,11
Aliy Zirkle,Kaltag,6,16
Aliy Zirkle,Koyuk,4,19
Aliy Zirkle,McGrath,5,8
Aliy Zirkle,Nikolai,4,7
Aliy Zirkle,Nome,4,23
Aliy Zirkle,Ophir,2,10
Aliy Zirkle,Rainy Pass,8,5
Aliy Zirkle,Rohn,5,6
Aliy Zirkle,Safety,4,22
Aliy Zirkle,Shageluk,12,12
Aliy Zirkle,Shaktoolik,7,18
Aliy Zirkle,Skwentna,27,3
Aliy Zirkle,Takotna,11,9
Aliy Zirkle,Unalakleet,7,17
Aliy Zirkle,White Mountain,4,21
Aliy Zirkle,Willow,18,1
Aliy Zirkle,Yentna,17,2
Anja Radano,Anvik,43,13
Anja Radano,Eagle Island,45,15
Anja Radano,Elim,36,20
Anja Radano,Finger Lake,51,4
Anja Radano,Grayling,43,14
Anja Radano,Iditarod,42,11
Anja Radano,Kaltag,44,16
Anja Radano,Koyuk,36,19
Anja Radano,McGrath,42,8
Anja Radano,Nikolai,43,7
Anja Radano,Nome,36,23
Anja Radano,Ophir,43,10
Anja Radano,Rainy Pass,42,5
Anja Radano,Rohn,40,6
Anja Radano,Safety,36,22
Anja Radano,Shageluk,43,12
Anja Radano,Shaktoolik,39,18
Anja Radano,Skwentna,46,3
Anja Radano,Takotna,48,9
Anja Radano,Unalakleet,41,17
Anja Radano,White Mountain,37,21
Anja Radano,Willow,1,1
Anja Radano,Yentna,18,2
Anna Berington,Anvik,24,13
Anna Berington,Eagle Island,21,15
Anna Berington,Elim,18,20
Anna Berington,Finger Lake,19,4
Anna Berington,Grayling,22,14
Anna Berington,Iditarod,29,11
Anna Berington,Kaltag,20,16
Anna Berington,Koyuk,18,19
Anna Berington,McGrath,24,8
Anna Berington,Nikolai,31,7
Anna Berington,Nome,17,23
Anna Berington,Ophir,6,10
Anna Berington,Rainy Pass,30,5
Anna Berington,Rohn,19,6
Anna Berington,Safety,17,22
Anna Berington,Shageluk,26,12
Anna Berington,Shaktoolik,21,18
Anna Berington,Skwentna,6,3
Anna Berington,Takotna,23,9
Anna Berington,Unalakleet,22,17
Anna Berington,White Mountain,17,21
Anna Berington,Willow,9,1
Anna Berington,Yentna,13,2
Blair Braverman,Anvik,41,13
Blair Braverman,Eagle Island,41,15
Blair Braverman,Elim,38,20
Blair Braverman,Finger Lake,44,4
Blair Braverman,Grayling,41,14
Blair Braverman,Iditarod,41,11
Blair Braverman,Kaltag,41,16
Blair Braverman,Koyuk,38,19
Blair Braverman,McGrath,40,8
Blair Braverman,Nikolai,40,7
Blair Braverman,Nome,37,23
Blair Braverman,Ophir,44,10
Blair Braverman,Rainy Pass,48,5
Blair Braverman,Rohn,42,6
Blair Braverman,Safety,37,22
Blair Braverman,Shageluk,41,12
Blair Braverman,Shaktoolik,44,18
Blair Braverman,Skwentna,30,3
Blair Braverman,Takotna,46,9
Blair Braverman,Unalakleet,43,17
Blair Braverman,White Mountain,36,21
Blair Braverman,Willow,10,1
Blair Braverman,Yentna,10,2
Brett Bruggeman,Anvik,28,13
Brett Bruggeman,Eagle Island,25,15
Brett Bruggeman,Finger Lake,32,4
Brett Bruggeman,Grayling,25,14
Brett Bruggeman,Iditarod,24,11
Brett Bruggeman,Kaltag,25,16
Brett Bruggeman,McGrath,30,8
Brett Bruggeman,Nikolai,27,7
Brett Bruggeman,Ophir,27,10
Brett Bruggeman,Rainy Pass,22,5
Brett Bruggeman,Rohn,29,6
Brett Bruggeman,Shageluk,20,12
Brett Bruggeman,Shaktoolik,23,18
Brett Bruggeman,Skwentna,28,3
Brett Bruggeman,Takotna,35,9
Brett Bruggeman,Unalakleet,21,17
Brett Bruggeman,Willow,34,1
Brett Bruggeman,Yentna,29,2
Charley Bejna,Anvik,30,13
Charley Bejna,Eagle Island,28,15
Charley Bejna,Elim,24,20
Charley Bejna,Finger Lake,18,4
Charley Bejna,Grayling,28,14
Charley Bejna,Iditarod,26,11
Charley Bejna,Kaltag,28,16
Charley Bejna,Koyuk,23,19
Charley Bejna,McGrath,29,8
Charley Bejna,Nikolai,23,7
Charley Bejna,Nome,25,23
Charley Bejna,Ophir,29,10
Charley Bejna,Rainy Pass,25,5
Charley Bejna,Rohn,30,6
Charley Bejna,Safety,25,22
Charley Bejna,Shageluk,22,12
Charley Bejna,Shaktoolik,27,18
Charley Bejna,Skwentna,10,3
Charley Bejna,Takotna,19,9
Charley Bejna,Unalakleet,29,17
Charley Bejna,White Mountain,26,21
Charley Bejna,Willow,30,1
Charley Bejna,Yentna,27,2
Cindy Abbott,Finger Lake,42,4
Cindy Abbott,Iditarod,51,11
Cindy Abbott,McGrath,48,8
Cindy Abbott,Nikolai,50,7
Cindy Abbott,Ophir,47,10
Cindy Abbott,Rainy Pass,50,5
Cindy Abbott,Rohn,51,6
Cindy Abbott,Skwentna,26,3
Cindy Abbott,Takotna,51,9
Cindy Abbott,Willow,15,1
Cindy Abbott,Yentna,24,2
Cindy Gallea,Anvik,46,13
Cindy Gallea,Eagle Island,47,15
Cindy Gallea,Elim,41,20
Cindy Gallea,Finger Lake,40,4
Cindy Gallea,Grayling,46,14
Cindy Gallea,Iditarod,48,11
Cindy Gallea,Kaltag,48,16
Cindy Gallea,Koyuk,41,19
Cindy Gallea,McGrath,49,8
Cindy Gallea,Nikolai,49,7
Cindy Gallea,Ophir,49,10
Cindy Gallea,Rainy Pass,46,5
Cindy Gallea,Rohn,50,6
Cindy Gallea,Safety,40,22
Cindy Gallea,Shageluk,48,12
Cindy Gallea,Shaktoolik,43,18
Cindy Gallea,Skwentna,21,3
Cindy Gallea,Takotna,32,9
Cindy Gallea,Unalakleet,46,17
Cindy Gallea,White Mountain,39,21
Cindy Gallea,Willow,52,1
Cindy Gallea,Yentna,49,2
Ed Hopkins,Anvik,35,13
Ed Hopkins,Eagle Island,34,15
Ed Hopkins,Elim,25,20
Ed Hopkins,Finger Lake,36,4
Ed Hopkins,Grayling,35,14
Ed Hopkins,Iditarod,35,11
Ed Hopkins,Kaltag,34,16
Ed Hopkins,Koyuk,28,19
Ed Hopkins,McGrath,31,8
Ed Hopkins,Nikolai,28,7
Ed Hopkins,Nome,22,23
Ed Hopkins,Ophir,33,10
Ed Hopkins,Rainy Pass,34,5
Ed Hopkins,Rohn,34,6
Ed Hopkins,Safety,22,22
Ed Hopkins,Shageluk,34,12
Ed Hopkins,Shaktoolik,31,18
Ed Hopkins,Skwentna,39,3
Ed Hopkins,Takotna,22,9
Ed Hopkins,Unalakleet,32,17
Ed Hopkins,White Mountain,23,21
Ed Hopkins,Willow,32,1
Ed Hopkins,Yentna,28,2
Emily Maxwell,Finger Lake,28,4
Emily Maxwell,Iditarod,46,11
Emily Maxwell,McGrath,37,8
Emily Maxwell,Nikolai,41,7
Emily Maxwell,Ophir,39,10
Emily Maxwell,Rainy Pass,38,5
Emily Maxwell,Rohn,31,6
Emily Maxwell,Skwentna,8,3
Emily Maxwell,Takotna,44,9
Emily Maxwell,Willow,17,1
Emily Maxwell,Yentna,19,2
Jason Campeau,Anvik,21,13
Jason Campeau,Eagle Island,22,15
Jason Campeau,Elim,30,20
Jason Campeau,Finger Lake,6,4
Jason Campeau,Grayling,19,14
Jason Campeau,Iditarod,25,11
Jason Campeau,Kaltag,33,16
Jason Campeau,Koyuk,30,19
Jason Campeau,McGrath,28,8
Jason Campeau,Nikolai,26,7
Jason Campeau,Nome,31,23
Jason Campeau,Ophir,31,10
Jason Campeau,Rainy Pass,12,5
Jason Campeau,Rohn,16,6
Jason Campeau,Safety,31,22
Jason Campeau,Shageluk,19,12
Jason Campeau,Shaktoolik,33,18
Jason Campeau,Skwentna,33,3
Jason Campeau,Takotna,18,9
Jason Campeau,Unalakleet,34,17
Jason Campeau,White Mountain,31,21
Jason Campeau,Willow,11,1
Jason Campeau,Yentna,7,2
Jeff Deeter,Anvik,31,13
Jeff Deeter,Eagle Island,33,15
Jeff Deeter,Elim,16,20
Jeff Deeter,Finger Lake,38,4
Jeff Deeter,Grayling,30,14
Jeff Deeter,Iditarod,27,11
Jeff Deeter,Kaltag,32,16
Jeff Deeter,Koyuk,20,19
Jeff Deeter,McGrath,27,8
Jeff Deeter,Nikolai,25,7
Jeff Deeter,Nome,15,23
Jeff Deeter,Ophir,26,10
Jeff Deeter,Rainy Pass,24,5
Jeff Deeter,Rohn,27,6
Jeff Deeter,Safety,15,22
Jeff Deeter,Shageluk,27,12
Jeff Deeter,Shaktoolik,25,18
Jeff Deeter,Skwentna,25,3
Jeff Deeter,Takotna,34,9
Jeff Deeter,Unalakleet,25,17
Jeff Deeter,White Mountain,15,21
Jeff Deeter,Willow,24,1
Jeff Deeter,Yentna,51,2
Jeff King,Anvik,14,13
Jeff King,Eagle Island,26,15
Jeff King,Elim,12,20
Jeff King,Finger Lake,22,4
Jeff King,Grayling,29,14
Jeff King,Iditarod,19,11
Jeff King,Kaltag,21,16
Jeff King,Koyuk,12,19
Jeff King,McGrath,26,8
Jeff King,Nikolai,24,7
Jeff King,Nome,13,23
Jeff King,Ophir,25,10
Jeff King,Rainy Pass,16,5
Jeff King,Rohn,25,6
Jeff King,Safety,13,22
Jeff King,Shageluk,21,12
Jeff King,Shaktoolik,16,18
Jeff King,Skwentna,5,3
Jeff King,Takotna,17,9
Jeff King,Unalakleet,18,17
Jeff King,White Mountain,13,21
Jeff King,Willow,22,1
Jeff King,Yentna,15,2
Jeremy Keller,Anvik,48,13
Jeremy Keller,Eagle Island,48,15
Jeremy Keller,Elim,40,20
Jeremy Keller,Finger Lake,41,4
Jeremy Keller,Grayling,48,14
Jeremy Keller,Iditarod,50,11
Jeremy Keller,Kaltag,46,16
Jeremy Keller,Koyuk,40,19
Jeremy Keller,McGrath,51,8
Jeremy Keller,Nikolai,48,7
Jeremy Keller,Nome,38,23
Jeremy Keller,Ophir,50,10
Jeremy Keller,Rainy Pass,51,5
Jeremy Keller,Rohn,48,6
Jeremy Keller,Safety,38,22
Jeremy Keller,Shageluk,46,12
Jeremy Keller,Shaktoolik,41,18
Jeremy Keller,Skwentna,15,3
Jeremy Keller,Takotna,49,9
Jeremy Keller,Unalakleet,45,17
Jeremy Keller,White Mountain,38,21
Jeremy Keller,Willow,47,1
Jeremy Keller,Yentna,47,2
Jessica Klejka,Anvik,36,13
Jessica Klejka,Eagle Island,36,15
Jessica Klejka,Elim,32,20
Jessica Klejka,Finger Lake,25,4
Jessica Klejka,Grayling,36,14
Jessica Klejka,Iditarod,36,11
Jessica Klejka,Kaltag,36,16
Jessica Klejka,Koyuk,32,19
Jessica Klejka,McGrath,34,8
Jessica Klejka,Nikolai,33,7
Jessica Klejka,Nome,32,23
Jessica Klejka,Ophir,36,10
Jessica Klejka,Rainy Pass,36,5
Jessica Klejka,Rohn,38,6
Jessica Klejka,Safety,32,22
Jessica Klejka,Shageluk,36,12
Jessica Klejka,Shaktoolik,34,18
Jessica Klejka,Skwentna,22,3
Jessica Klejka,Takotna,41,9
Jessica Klejka,Unalakleet,35,17
Jessica Klejka,White Mountain,32,21
Jessica Klejka,Willow,23,1
Jessica Klejka,Yentna,20,2
Jessie Holmes,Anvik,12,13
Jessie Holmes,Eagle Island,10,15
Jessie Holmes,Elim,23,20
Jessie Holmes,Finger Lake,16,4
Jessie Holmes,Grayling,11,14
Jessie Holmes,Iditarod,10,11
Jessie Holmes,Kaltag,7,16
Jessie Holmes,Koyuk,5,19
Jessie Holmes,McGrath,11,8
Jessie Holmes,Nikolai,11,7
Jessie Holmes,Nome,28,23
Jessie Holmes,Ophir,3,10
Jessie Holmes,Rainy Pass,4,5
Jessie Holmes,Rohn,6,6
Jessie Holmes,Safety,27,22
Jessie Holmes,Shageluk,11,12
Jessie Holmes,Shaktoolik,6,18
Jessie Holmes,Skwentna,1,3
Jessie Holmes,Takotna,13,9
Jessie Holmes,Unalakleet,6,17
Jessie Holmes,White Mountain,21,21
Jessie Holmes,Willow,4,1
Jessie Holmes,Yentna,1,2
Jessie Royer,Anvik,3,13
Jessie Royer,Eagle Island,8,15
Jessie Royer,Elim,3,20
Jessie Royer,Finger Lake,5,4
Jessie Royer,Grayling,3,14
Jessie Royer,Iditarod,5,11
Jessie Royer,Kaltag,4,16
Jessie Royer,Koyuk,3,19
Jessie Royer,McGrath,3,8
Jessie Royer,Nikolai,3,7
Jessie Royer,Nome,3,23
Jessie Royer,Ophir,9,10
Jessie Royer,Rainy Pass,9,5
Jessie Royer,Rohn,7,6
Jessie Royer,Safety,3,22
Jessie Royer,Shageluk,3,12
Jessie Royer,Shaktoolik,4,18
Jessie Royer,Skwentna,32,3
Jessie Royer,Takotna,2,9
Jessie Royer,Unalakleet,4,17
Jessie Royer,White Mountain,3,21
Jessie Royer,Willow,13,1
Jessie Royer,Yentna,9,2
Joar Leifseth Ulsom,Anvik,2,13
Joar Leifseth Ulsom,Eagle Island,1,15
Joar Leifseth Ulsom,Elim,2,20
Joar Leifseth Ulsom,Finger Lake,3,4
Joar Leifseth Ulsom,Grayling,2,14
Joar Leifseth Ulsom,Iditarod,3,11
Joar Leifseth Ulsom,Kaltag,3,16
Joar Leifseth Ulsom,Koyuk,2,19
Joar Leifseth Ulsom,McGrath,2,8
Joar Leifseth Ulsom,Nikolai,1,7
Joar Leifseth Ulsom,Nome,2,23
Joar Leifseth Ulsom,Ophir,8,10
Joar Leifseth Ulsom,Rainy Pass,7,5
Joar Leifseth Ulsom,Rohn,3,6
Joar Leifseth Ulsom,Safety,2,22
Joar Leifseth Ulsom,Shageluk,1,12
Joar Leifseth Ulsom,Shaktoolik,3,18
Joar Leifseth Ulsom,Skwentna,29,3
Joar Leifseth Ulsom,Takotna,1,9
Joar Leifseth Ulsom,Unalakleet,3,17
Joar Leifseth Ulsom,White Mountain,2,21
Joar Leifseth Ulsom,Willow,27,1
Joar Leifseth Ulsom,Yentna,21,2
Kristin Bacon,Anvik,42,13
Kristin Bacon,Eagle Island,44,15
Kristin Bacon,Elim,37,20
Kristin Bacon,Finger Lake,50,4
Kristin Bacon,Grayling,42,14
Kristin Bacon,Iditarod,43,11
Kristin Bacon,Kaltag,45,16
Kristin Bacon,Koyuk,37,19
Kristin Bacon,McGrath,45,8
Kristin Bacon,Nikolai,44,7
Kristin Bacon,Nome,39,23
Kristin Bacon,Ophir,45,10
Kristin Bacon,Rainy Pass,40,5
Kristin Bacon,Rohn,44,6
Kristin Bacon,Safety,39,22
Kristin Bacon,Shageluk,44,12
Kristin Bacon,Shaktoolik,40,18
Kristin Bacon,Skwentna,48,3
Kristin Bacon,Takotna,26,9
Kristin Bacon,Unalakleet,42,17
Kristin Bacon,White Mountain,40,21
Kristin Bacon,Willow,7,1
Kristin Bacon,Yentna,30,2
Kristy Berington,Anvik,23,13
Kristy Berington,Eagle Island,20,15
Kristy Berington,Elim,17,20
Kristy Berington,Finger Lake,20,4
Kristy Berington,Grayling,21,14
Kristy Berington,Iditarod,30,11
Kristy Berington,Kaltag,18,16
Kristy Berington,Koyuk,17,19
Kristy Berington,McGrath,23,8
Kristy Berington,Nikolai,32,7
Kristy Berington,Nome,16,23
Kristy Berington,Ophir,7,10
Kristy Berington,Rainy Pass,29,5
Kristy Berington,Rohn,18,6
Kristy Berington,Safety,16,22
Kristy Berington,Shageluk,25,12
Kristy Berington,Shaktoolik,20,18
Kristy Berington,Skwentna,9,3
Kristy Berington,Takotna,24,9
Kristy Berington,Unalakleet,23,17
Kristy Berington,White Mountain,16,21
Kristy Berington,Willow,25,1
Kristy Berington,Yentna,23,2
Lance Mackey,Anvik,25,13
Lance Mackey,Eagle Island,27,15
Lance Mackey,Elim,29,20
Lance Mackey,Finger Lake,26,4
Lance Mackey,Grayling,24,14
Lance Mackey,Iditarod,32,11
Lance Mackey,Kaltag,24,16
Lance Mackey,Koyuk,25,19
Lance Mackey,McGrath,36,8
Lance Mackey,Nikolai,35,7
Lance Mackey,Nome,27,23
Lance Mackey,Ophir,37,10
Lance Mackey,Rainy Pass,35,5
Lance Mackey,Rohn,35,6
Lance Mackey,Safety,28,22
Lance Mackey,Shageluk,33,12
Lance Mackey,Shaktoolik,29,18
Lance Mackey,Skwentna,34,3
Lance Mackey,Takotna,42,9
Lance Mackey,Unalakleet,28,17
Lance Mackey,White Mountain,28,21
Lance Mackey,Willow,43,1
Lance Mackey,Yentna,37,2
Lev Shvarts,Anvik,20,13
Lev Shvarts,Eagle Island,18,15
Lev Shvarts,Finger Lake,29,4
Lev Shvarts,Grayling,18,14
Lev Shvarts,Iditarod,21,11
Lev Shvarts,Kaltag,22,16
Lev Shvarts,McGrath,17,8
Lev Shvarts,Nikolai,18,7
Lev Shvarts,Ophir,20,10
Lev Shvarts,Rainy Pass,18,5
Lev Shvarts,Rohn,24,6
Lev Shvarts,Shageluk,17,12
Lev Shvarts,Skwentna,35,3
Lev Shvarts,Takotna,30,9
Lev Shvarts,Unalakleet,30,17
Lev Shvarts,Willow,12,1
Lev Shvarts,Yentna,8,2
Linwood Fiedler,Anvik,19,13
Linwood Fiedler,Eagle Island,17,15
Linwood Fiedler,Elim,13,20
Linwood Fiedler,Finger Lake,1,4
Linwood Fiedler,Grayling,17,14
Linwood Fiedler,Iditarod,17,11
Linwood Fiedler,Kaltag,16,16
Linwood Fiedler,Koyuk,14,19
Linwood Fiedler,McGrath,18,8
Linwood Fiedler,Nikolai,15,7
Linwood Fiedler,Nome,12,23
Linwood Fiedler,Ophir,23,10
Linwood Fiedler,Rainy Pass,6,5
Linwood Fiedler,Rohn,9,6
Linwood Fiedler,Safety,12,22
Linwood Fiedler,Shageluk,16,12
Linwood Fiedler,Shaktoolik,18,18
Linwood Fiedler,Skwentna,13,3
